               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 144,            0.023027,            0.017907,            0.022826,             0.71025,             0.67441,             0.73098,             0.59105,            0.017174,           0.0077064,            0.012728,            0.005281,            0.005281,            0.005281
                 145,            0.023002,            0.017911,            0.022891,             0.71239,             0.67179,             0.73103,             0.59096,            0.017175,           0.0077041,            0.012704,            0.005248,            0.005248,            0.005248
                 146,            0.022915,            0.017837,            0.022813,             0.71288,             0.67223,             0.73109,             0.59117,            0.017175,           0.0077003,             0.01268,            0.005215,            0.005215,            0.005215
                 147,            0.022944,            0.017856,            0.022841,              0.7162,             0.67088,             0.73141,             0.59145,            0.017177,           0.0076982,            0.012674,            0.005182,            0.005182,            0.005182
                 148,            0.022935,            0.017867,            0.022784,             0.71466,             0.67207,             0.73179,             0.59168,            0.017174,           0.0076956,            0.012675,            0.005149,            0.005149,            0.005149
                 149,            0.022935,             0.01783,            0.022758,             0.71335,              0.6729,             0.73185,             0.59198,            0.017171,           0.0076936,            0.012662,            0.005116,            0.005116,            0.005116
                 150,            0.022861,            0.017874,            0.022728,              0.7132,             0.67344,             0.73237,             0.59256,            0.017167,           0.0076909,            0.012655,            0.005083,            0.005083,            0.005083
                 151,            0.022885,            0.017837,            0.022652,             0.71482,             0.67217,             0.73236,             0.59261,            0.017163,           0.0076884,            0.012649,             0.00505,             0.00505,             0.00505
                 152,            0.022904,            0.017839,            0.022789,             0.71825,             0.67233,             0.73343,             0.59364,            0.017157,           0.0076849,            0.012645,            0.005017,            0.005017,            0.005017
                 153,            0.022887,            0.017797,            0.022762,             0.72132,             0.66944,             0.73413,               0.594,            0.017153,           0.0076823,            0.012636,            0.004984,            0.004984,            0.004984
                 154,            0.022821,            0.017799,            0.022618,              0.7212,             0.67067,             0.73451,             0.59455,            0.017156,           0.0076777,            0.012613,            0.004951,            0.004951,            0.004951
                 155,            0.022776,            0.017806,            0.022605,             0.71957,             0.67196,             0.73471,             0.59497,            0.017153,           0.0076734,             0.01261,            0.004918,            0.004918,            0.004918
