epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,0.68624,0.84355,1.0885,0.77418,0.74475,0.80763,0.70189,0.54872,0.54548,0.93833,0.002971,0.002971,0.002971
73,0.68422,0.84304,1.0874,0.76361,0.75415,0.80828,0.70262,0.54842,0.54467,0.93811,0.002872,0.002872,0.002872
74,0.6833,0.83992,1.0865,0.7584,0.75919,0.80923,0.70349,0.54802,0.54401,0.93758,0.002773,0.002773,0.002773
75,0.68184,0.83314,1.0855,0.75978,0.75957,0.80967,0.70406,0.54755,0.54326,0.93717,0.002674,0.002674,0.002674
76,0.67837,0.82958,1.0833,0.75708,0.76527,0.81008,0.70455,0.54725,0.54266,0.93679,0.002575,0.002575,0.002575
77,0.67746,0.82587,1.0828,0.75726,0.76544,0.81042,0.705,0.54681,0.54206,0.93626,0.002476,0.002476,0.002476
78,0.67536,0.822,1.0818,0.75567,0.76943,0.81104,0.70535,0.54646,0.54156,0.93592,0.002377,0.002377,0.002377
79,0.67287,0.81772,1.0804,0.755,0.76967,0.8114,0.70567,0.546,0.54102,0.93552,0.002278,0.002278,0.002278
80,0.67011,0.81291,1.0786,0.75498,0.76836,0.81163,0.70619,0.5456,0.54035,0.93508,0.002179,0.002179,0.002179
81,0.66855,0.80829,1.078,0.75775,0.76819,0.81196,0.70661,0.54518,0.53985,0.93469,0.00208,0.00208,0.00208
82,0.66775,0.80447,1.0776,0.75579,0.77065,0.81238,0.70698,0.54474,0.53899,0.93424,0.001981,0.001981,0.001981
83,0.66501,0.80039,1.0764,0.75749,0.76967,0.81296,0.70769,0.54452,0.53858,0.93405,0.001882,0.001882,0.001882
84,0.66361,0.79617,1.0758,0.76314,0.76532,0.81304,0.70772,0.54434,0.53818,0.93375,0.001783,0.001783,0.001783
85,0.66003,0.78843,1.0729,0.76559,0.76288,0.81322,0.70829,0.54404,0.53782,0.93341,0.001684,0.001684,0.001684
86,0.65727,0.7841,1.0713,0.76472,0.76295,0.81334,0.70832,0.54397,0.53727,0.93319,0.001585,0.001585,0.001585
87,0.65631,0.77942,1.0705,0.75945,0.76879,0.81348,0.70845,0.54366,0.53692,0.93279,0.001486,0.001486,0.001486
88,0.65394,0.77368,1.0688,0.76091,0.76638,0.81355,0.70878,0.54336,0.53629,0.93248,0.001387,0.001387,0.001387
89,0.65087,0.76781,1.0671,0.76778,0.76192,0.81388,0.70942,0.54305,0.53581,0.93213,0.001288,0.001288,0.001288
90,0.64788,0.76086,1.0661,0.76166,0.76962,0.81409,0.70956,0.54278,0.53539,0.9318,0.001189,0.001189,0.001189
91,0.6471,0.75528,1.0649,0.76633,0.76788,0.81434,0.70957,0.54254,0.5352,0.93151,0.00109,0.00109,0.00109
92,0.64257,0.74848,1.0623,0.76361,0.77125,0.81441,0.70988,0.54233,0.53493,0.93125,0.000991,0.000991,0.000991
93,0.64072,0.74351,1.0621,0.76909,0.76573,0.81452,0.7101,0.54214,0.53474,0.93101,0.000892,0.000892,0.000892
94,0.63659,0.7339,1.059,0.7712,0.76635,0.81459,0.71037,0.54214,0.53434,0.93092,0.000793,0.000793,0.000793
95,0.63437,0.7274,1.0585,0.77532,0.76183,0.8146,0.71042,0.5419,0.53415,0.9307,0.000694,0.000694,0.000694
96,0.63109,0.72051,1.0561,0.77925,0.75846,0.81469,0.71063,0.54171,0.53376,0.93036,0.000595,0.000595,0.000595
97,0.62774,0.71381,1.0546,0.7783,0.75956,0.81478,0.71093,0.54147,0.53352,0.92995,0.000496,0.000496,0.000496
98,0.62502,0.70726,1.0524,0.77532,0.76234,0.81484,0.7111,0.54127,0.53303,0.92957,0.000397,0.000397,0.000397
99,0.62133,0.69761,1.0506,0.77703,0.76278,0.81469,0.71117,0.54103,0.53241,0.92912,0.000298,0.000298,0.000298
