               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.024552,            0.018645,              0.0246,             0.73067,             0.62977,             0.68392,             0.54046,            0.018187,           0.0081606,            0.014036,            0.008251,            0.008251,            0.008251
                  55,            0.024653,            0.018622,            0.024462,             0.73138,             0.62841,             0.68412,              0.5405,            0.018201,           0.0081685,            0.014043,            0.008218,            0.008218,            0.008218
                  56,            0.024587,            0.018592,            0.024457,             0.72991,             0.62868,              0.6842,             0.54057,            0.018221,           0.0081759,             0.01405,            0.008185,            0.008185,            0.008185
                  57,            0.024624,             0.01863,             0.02443,             0.73165,               0.627,             0.68424,             0.54074,            0.018242,           0.0081836,            0.014058,            0.008152,            0.008152,            0.008152
                  58,            0.024521,            0.018533,            0.024335,             0.73299,             0.62561,             0.68439,             0.54071,            0.018262,           0.0081931,            0.014068,            0.008119,            0.008119,            0.008119
                  59,            0.024562,            0.018627,            0.024338,             0.73112,             0.62744,              0.6847,             0.54071,            0.018287,           0.0082026,            0.014082,            0.008086,            0.008086,            0.008086
                  60,            0.024498,            0.018566,            0.024446,             0.73091,             0.62875,             0.68477,             0.54082,            0.018308,           0.0082111,            0.014103,            0.008053,            0.008053,            0.008053
                  61,            0.024572,            0.018583,            0.024402,             0.73006,             0.62914,             0.68504,             0.54081,            0.018326,           0.0082179,             0.01412,             0.00802,             0.00802,             0.00802
                  62,            0.024463,             0.01849,            0.024226,             0.72875,             0.62896,             0.68524,             0.54103,            0.018342,           0.0082261,            0.014136,            0.007987,            0.007987,            0.007987
                  63,            0.024455,             0.01853,            0.024184,             0.72717,              0.6298,             0.68534,             0.54098,            0.018361,            0.008232,            0.014135,            0.007954,            0.007954,            0.007954
                  64,            0.024478,            0.018547,            0.024295,             0.73041,              0.6283,             0.68552,             0.54095,            0.018376,           0.0082371,            0.014138,            0.007921,            0.007921,            0.007921
                  65,            0.024357,            0.018496,            0.024201,             0.73345,             0.62641,             0.68588,             0.54137,            0.018392,           0.0082415,            0.014137,            0.007888,            0.007888,            0.007888
                  66,            0.024479,            0.018518,            0.024199,             0.73586,             0.62543,             0.68595,             0.54155,            0.018404,           0.0082485,            0.014151,            0.007855,            0.007855,            0.007855
                  67,            0.024405,            0.018544,            0.024251,             0.73808,             0.62284,             0.68653,             0.54195,            0.018414,           0.0082523,            0.014151,            0.007822,            0.007822,            0.007822
                  68,            0.024471,            0.018538,            0.024289,             0.73564,             0.62411,             0.68654,             0.54188,            0.018428,           0.0082578,            0.014155,            0.007789,            0.007789,            0.007789
                  69,            0.024393,            0.018524,             0.02426,             0.73785,             0.62254,             0.68671,             0.54201,            0.018435,           0.0082636,            0.014156,            0.007756,            0.007756,            0.007756
                  70,            0.024321,            0.018476,            0.024154,             0.73944,             0.62122,             0.68706,             0.54202,            0.018449,           0.0082694,             0.01415,            0.007723,            0.007723,            0.007723
                  71,            0.024301,            0.018425,            0.024227,             0.73969,             0.62211,             0.68715,             0.54211,            0.018462,           0.0082757,            0.014166,             0.00769,             0.00769,             0.00769
                  72,            0.024398,            0.018422,             0.02405,             0.73927,             0.62298,             0.68781,             0.54261,             0.01846,           0.0082802,            0.014173,            0.007657,            0.007657,            0.007657
                  73,             0.02435,            0.018468,            0.024034,             0.73771,             0.62356,             0.68838,             0.54321,             0.01847,           0.0082824,            0.014178,            0.007624,            0.007624,            0.007624
                  74,            0.024312,            0.018498,            0.024022,             0.73614,             0.62555,             0.68872,             0.54326,            0.018475,            0.008286,            0.014174,            0.007591,            0.007591,            0.007591
                  75,            0.024269,            0.018496,            0.024132,             0.73529,             0.62655,             0.68888,             0.54341,            0.018479,           0.0082885,             0.01418,            0.007558,            0.007558,            0.007558
                  76,            0.024287,            0.018482,            0.024075,              0.7358,             0.62565,              0.6892,             0.54364,            0.018482,           0.0082916,            0.014175,            0.007525,            0.007525,            0.007525
                  77,            0.024237,             0.01842,             0.02408,             0.73635,             0.62537,             0.68928,             0.54365,            0.018484,           0.0082945,            0.014165,            0.007492,            0.007492,            0.007492
                  78,            0.024166,            0.018485,            0.024082,             0.73764,             0.62421,             0.68958,             0.54398,            0.018482,           0.0082953,            0.014166,            0.007459,            0.007459,            0.007459
                  79,            0.024243,            0.018422,            0.024128,             0.73754,             0.62474,             0.68993,             0.54454,            0.018476,           0.0082971,             0.01416,            0.007426,            0.007426,            0.007426
                  80,            0.024128,            0.018413,            0.023912,             0.73808,             0.62531,             0.69064,             0.54499,            0.018467,           0.0082975,            0.014151,            0.007393,            0.007393,            0.007393
                  81,            0.024155,             0.01841,            0.024099,             0.74015,             0.62449,             0.69112,             0.54541,            0.018462,           0.0082952,            0.014142,             0.00736,             0.00736,             0.00736
                  82,            0.024214,            0.018412,             0.02403,             0.74146,               0.624,             0.69154,              0.5459,            0.018458,           0.0082916,            0.014144,            0.007327,            0.007327,            0.007327
                  83,            0.024158,            0.018417,            0.024022,             0.74081,              0.6247,             0.69215,             0.54651,            0.018451,           0.0082856,            0.014134,            0.007294,            0.007294,            0.007294
                  84,            0.024064,            0.018334,            0.023945,             0.74229,             0.62339,             0.69254,             0.54686,            0.018442,           0.0082825,             0.01413,            0.007261,            0.007261,            0.007261
                  85,            0.024139,            0.018331,               0.024,             0.74393,             0.62336,             0.69302,             0.54736,            0.018427,           0.0082768,            0.014119,            0.007228,            0.007228,            0.007228
                  86,            0.024026,            0.018322,            0.023962,             0.74663,             0.62188,             0.69374,             0.54794,            0.018413,           0.0082701,            0.014098,            0.007195,            0.007195,            0.007195
                  87,            0.024111,            0.018317,            0.023752,             0.74441,              0.6234,             0.69442,             0.54882,            0.018397,           0.0082627,            0.014077,            0.007162,            0.007162,            0.007162
                  88,            0.024011,            0.018355,            0.023826,             0.74477,             0.62388,             0.69493,             0.54928,            0.018376,           0.0082577,            0.014062,            0.007129,            0.007129,            0.007129
                  89,            0.024066,            0.018359,            0.023855,             0.74289,             0.62516,             0.69527,             0.54965,            0.018367,           0.0082523,             0.01404,            0.007096,            0.007096,            0.007096
                  90,            0.024022,            0.018338,            0.023806,              0.7408,             0.62683,             0.69587,             0.55067,            0.018352,           0.0082432,            0.014027,            0.007063,            0.007063,            0.007063
                  91,            0.024039,            0.018252,            0.023919,             0.73879,             0.62779,             0.69641,             0.55118,             0.01834,           0.0082355,            0.014021,             0.00703,             0.00703,             0.00703
                  92,            0.024034,            0.018284,            0.023799,             0.65855,             0.63127,             0.69688,             0.55199,            0.018317,           0.0082273,            0.013995,            0.006997,            0.006997,            0.006997
                  93,            0.024005,            0.018253,             0.02387,             0.66066,             0.63038,             0.69751,             0.55263,              0.0183,            0.008219,            0.013977,            0.006964,            0.006964,            0.006964
                  94,            0.023907,            0.018311,            0.023579,              0.6885,             0.63682,             0.69807,             0.55334,            0.018285,           0.0082103,            0.013972,            0.006931,            0.006931,            0.006931
                  95,            0.023804,            0.018275,            0.023727,             0.68916,             0.63872,             0.69886,             0.55407,            0.018271,           0.0082039,            0.013961,            0.006898,            0.006898,            0.006898
                  96,             0.02394,            0.018247,            0.023815,             0.68621,             0.64112,             0.69943,             0.55466,            0.018259,           0.0081973,            0.013956,            0.006865,            0.006865,            0.006865
                  97,            0.023883,            0.018226,            0.023653,             0.68415,             0.64077,             0.69997,             0.55547,            0.018247,            0.008188,            0.013957,            0.006832,            0.006832,            0.006832
                  98,            0.023877,            0.018272,            0.023551,             0.68587,             0.64003,             0.70062,              0.5561,            0.018229,           0.0081795,            0.013935,            0.006799,            0.006799,            0.006799
                  99,            0.023838,            0.018274,            0.023733,             0.69503,             0.64117,             0.70121,             0.55679,            0.018217,           0.0081714,            0.013925,            0.006766,            0.006766,            0.006766
                 100,            0.023851,            0.018287,             0.02375,             0.69545,             0.64204,             0.70218,              0.5578,            0.018198,           0.0081627,            0.013906,            0.006733,            0.006733,            0.006733
                 101,            0.023915,            0.018273,            0.023661,             0.69785,             0.64153,              0.7028,             0.55854,            0.018181,           0.0081537,            0.013903,              0.0067,              0.0067,              0.0067
                 102,            0.023798,            0.018204,             0.02358,             0.69882,             0.64212,             0.70328,             0.55905,            0.018166,           0.0081454,            0.013894,            0.006667,            0.006667,            0.006667
                 103,            0.023865,            0.018195,            0.023662,             0.69983,             0.64343,             0.70395,             0.55959,            0.018153,            0.008139,            0.013884,            0.006634,            0.006634,            0.006634
                 104,            0.023796,            0.018218,            0.023693,             0.69438,             0.64621,             0.70467,             0.56038,            0.018133,           0.0081295,            0.013875,            0.006601,            0.006601,            0.006601
